Bölüm,Kategori,Seri,Model,Kaynak Dosya,Özellikler
Ölçme,DC Ampermetreler,DCA-11,DCA-11CS,dc_ampermetreler.csv,Akım Ölçümü: Var | Maks. Değer: Var | Min. Değer: Var | Sınıf 0.5: Var | Ölçüm Aralığı (±10kA DC): Var | 2 Çıkış Kontağı: Var | RS-485 Modbus: Var | Pano Tipi: Var | 10-56 VDC: Var | 85-265 VAC/DC: Yok
Ölçme,DC Şöntler,SA60,SA60-30,dc_sontler.csv,"Tip: 30A, 60mV Şönt | A (mm): 12,5 | B (mm): 3 | C (mm): 100,28 | D (mm): 15 | E (mm): 45,25 | Sabitleme Civatası: M5 | Ağırlık (g): 29,4"
Ölçme,DC Şöntler,SA60,SA60-40,dc_sontler.csv,"Tip: 40A, 60mV Şönt | A (mm): 12,5 | B (mm): 3 | C (mm): 88,9 | D (mm): 15 | E (mm): 33,9 | Sabitleme Civatası: M5 | Ağırlık (g): 28,2"
Ölçme,DC Şöntler,SA60,SA60-50,dc_sontler.csv,"Tip: 50A, 60mV Şönt | A (mm): 12,5 | B (mm): 3 | C (mm): 90 | D (mm): 15 | E (mm): 35 | Sabitleme Civatası: M5 | Ağırlık (g): 29,5"
Ölçme,DC Şöntler,SA60,SA60-60,dc_sontler.csv,"Tip: 60A, 60mV Şönt | A (mm): 12,5 | B (mm): 3 | C (mm): 91,5 | D (mm): 15 | E (mm): 36,5 | Sabitleme Civatası: M5 | Ağırlık (g): 30,6"
Ölçme,DC Şöntler,SA60,SA60-100,dc_sontler.csv,"Tip: 100A, 60mV Şönt | A (mm): 12,5 | B (mm): 5 | C (mm): 105,4 | D (mm): 20 | E (mm): 39,4 | Sabitleme Civatası: M8 | Ağırlık (g): 77"
Ölçme,DC Şöntler,SA60,SA60-150,dc_sontler.csv,"Tip: 150A, 60mV Şönt | A (mm): 17,5 | B (mm): 5 | C (mm): 104 | D (mm): 20 | E (mm): 38 | Sabitleme Civatası: M8 | Ağırlık (g): 81,3"
Ölçme,DC Şöntler,SA60,SA60-250,dc_sontler.csv,"Tip: 250A, 60mV Şönt | A (mm): 17,5 | B (mm): 5 | C (mm): 120,5 | D (mm): 30 | E (mm): 38,5 | Sabitleme Civatası: M10 | Ağırlık (g): 141,8"
Ölçme,DC Şöntler,SA60,SA60-500,dc_sontler.csv,"Tip: 500A, 60mV Şönt | A (mm): 20 | B (mm): 5 | C (mm): 137,4 | D (mm): 50 | E (mm): 39,4 | Sabitleme Civatası: M10 | Ağırlık (g): 293,8"
Ölçme,DC Şöntler,SA60,SA60-1000,dc_sontler.csv,"Tip: 1000A, 60mV Şönt | A (mm): 34 | B (mm): 10 | C (mm): 153,4 | D (mm): 50 | E (mm): 39,4 | Sabitleme Civatası: M16 | Ağırlık (g): 738"
Ölçme,DC Voltmetreler,DCV-10,DCV-10,dc_voltmetreler.csv,1~ Gerilim: Var | Maks. Değer: Var | Min. Değer: Var | Sınıf 0.5: Var | Ölçüm Aralığı: Var | 2 Çıkış Kontağı: Yok | RS-485 Modbus: Yok | Pano Tipi: Var | 10-56 VDC: Yok | 85-265 VAC/DC: Var
Ölçme,DC Voltmetreler,DCV-10,DCV-10C,dc_voltmetreler.csv,1~ Gerilim: Var | Maks. Değer: Var | Min. Değer: Var | Sınıf 0.5: Var | Ölçüm Aralığı: Var | 2 Çıkış Kontağı: Var | RS-485 Modbus: Yok | Pano Tipi: Var | 10-56 VDC: Yok | 85-265 VAC/DC: Var
Ölçme,DC Voltmetreler,DCV-10,DCV-10S,dc_voltmetreler.csv,1~ Gerilim: Var | Maks. Değer: Var | Min. Değer: Var | Sınıf 0.5: Var | Ölçüm Aralığı: Var | 2 Çıkış Kontağı: Yok | RS-485 Modbus: Var | Pano Tipi: Var | 10-56 VDC: Yok | 85-265 VAC/DC: Var
Ölçme,DC Voltmetreler,DCV-10,DCV-10CS,dc_voltmetreler.csv,1~ Gerilim: Var | Maks. Değer: Var | Min. Değer: Var | Sınıf 0.5: Var | Ölçüm Aralığı: Var | 2 Çıkış Kontağı: Var | RS-485 Modbus: Var | Pano Tipi: Var | 10-56 VDC: Yok | 85-265 VAC/DC: Var
Ölçme,DC Voltmetreler,DCV-11,DCV-11,dc_voltmetreler.csv,1~ Gerilim: Var | Maks. Değer: Var | Min. Değer: Var | Sınıf 0.5: Var | Ölçüm Aralığı: Var | 2 Çıkış Kontağı: Yok | RS-485 Modbus: Yok | Pano Tipi: Var | 10-56 VDC: Var | 85-265 VAC/DC: Yok
Ölçme,DC Voltmetreler,DCV-11,DCV-11C,dc_voltmetreler.csv,1~ Gerilim: Var | Maks. Değer: Var | Min. Değer: Var | Sınıf 0.5: Var | Ölçüm Aralığı: Var | 2 Çıkış Kontağı: Var | RS-485 Modbus: Yok | Pano Tipi: Var | 10-56 VDC: Var | 85-265 VAC/DC: Yok
Ölçme,DC Voltmetreler,DCV-11,DCV-11S,dc_voltmetreler.csv,1~ Gerilim: Var | Maks. Değer: Var | Min. Değer: Var | Sınıf 0.5: Var | Ölçüm Aralığı: Var | 2 Çıkış Kontağı: Yok | RS-485 Modbus: Var | Pano Tipi: Var | 10-56 VDC: Var | 85-265 VAC/DC: Yok
Ölçme,DC Voltmetreler,DCV-11,DCV-11CS,dc_voltmetreler.csv,1~ Gerilim: Var | Maks. Değer: Var | Min. Değer: Var | Sınıf 0.5: Var | Ölçüm Aralığı: Var | 2 Çıkış Kontağı: Var | RS-485 Modbus: Var | Pano Tipi: Var | 10-56 VDC: Var | 85-265 VAC/DC: Yok
Ölçme,Multimetreler,EMM,EMM-04,multimetreler.csv,3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Çıkış Kontağı: Yok | Aşırı/Düşük Gerilim Koruma: Yok | Faz Sırası Koruma: Yok | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | Çalışma Saati: Var | Toplam Çalışma Saati: Var
Ölçme,Multimetreler,EMM,EMM-04S,multimetreler.csv,3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Çıkış Kontağı: Yok | Aşırı/Düşük Gerilim Koruma: Yok | Faz Sırası Koruma: Yok | RS-485: Var | X/1-X/5 Akım Trafosu: Var | Çalışma Saati: Var | Toplam Çalışma Saati: Var
Ölçme,Multimetreler,EMM,EMM-04C,multimetreler.csv,3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Faz Sırası Koruma: Var | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | Çalışma Saati: Var | Toplam Çalışma Saati: Var
Ölçme,Multimetreler,EMM,EMM-04CS,multimetreler.csv,3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Faz Sırası Koruma: Var | RS-485: Var | X/1-X/5 Akım Trafosu: Var | Çalışma Saati: Var | Toplam Çalışma Saati: Var
Ölçme,Multimetreler,EPM-04,EPM-04-96,multimetreler.csv,Montaj Tipi: Pano | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Yok | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Yok | Aşırı/Düşük Gerilim Koruma: Yok | Aşırı/Düşük Akım Koruma: Yok | Aşırı/Düşük Frekans Koruma: Yok | Faz Sırası Koruma: Yok | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Var | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-04,EPM-04h-96,multimetreler.csv,Montaj Tipi: Pano | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Yok | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Yok | Aşırı/Düşük Gerilim Koruma: Yok | Aşırı/Düşük Akım Koruma: Yok | Aşırı/Düşük Frekans Koruma: Yok | Faz Sırası Koruma: Yok | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Var | Çalışma Saati: Var | Toplam Çalışma Saati: Var
Ölçme,Multimetreler,EPM-04,EPM-04C-96,multimetreler.csv,Montaj Tipi: Pano | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Yok | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Var | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Var | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-04,EPM-04CS-96,multimetreler.csv,Montaj Tipi: Pano | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Yok | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Var | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Var | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Var | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-06,EPM-06-96,multimetreler.csv,Montaj Tipi: Pano | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Yok | Aşırı/Düşük Gerilim Koruma: Yok | Aşırı/Düşük Akım Koruma: Yok | Aşırı/Düşük Frekans Koruma: Yok | Faz Sırası Koruma: Yok | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Yok | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-06,EPM-06C-96,multimetreler.csv,Montaj Tipi: Pano | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Var | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Yok | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-06,EPM-06CS-96,multimetreler.csv,Montaj Tipi: Pano | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Var | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Var | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Yok | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EVM-05,EVM-05C-96,multimetreler.csv,Montaj Tipi: Pano | 3~ Gerilim: Var | 3~ Akım: Yok | Cosφ: Yok | Frekans: Var | I nötr: Yok | Demand: Yok | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Yok | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Yok | X/1-X/5 Akım Trafosu: Yok | CT-25 (120A): Yok | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-04,EPM-04-DIN,multimetreler.csv,Montaj Tipi: Ray | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Yok | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Yok | Aşırı/Düşük Gerilim Koruma: Yok | Aşırı/Düşük Akım Koruma: Yok | Aşırı/Düşük Frekans Koruma: Yok | Faz Sırası Koruma: Yok | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Yok | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-04,EPM-04C-DIN,multimetreler.csv,Montaj Tipi: Ray | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Yok | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Var | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Var | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-04,EPM-04CS-DIN,multimetreler.csv,Montaj Tipi: Ray | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Yok | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Var | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Var | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Yok | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-06,EPM-06-DIN,multimetreler.csv,Montaj Tipi: Ray | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Yok | Aşırı/Düşük Gerilim Koruma: Yok | Aşırı/Düşük Akım Koruma: Yok | Aşırı/Düşük Frekans Koruma: Yok | Faz Sırası Koruma: Yok | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Yok | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-06,EPM-06C-DIN,multimetreler.csv,Montaj Tipi: Ray | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Var | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Yok | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Var | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EPM-06,EPM-06CS-DIN,multimetreler.csv,Montaj Tipi: Ray | 3~ Gerilim: Var | 3~ Akım: Var | Cosφ: Var | Frekans: Var | I nötr: Var | Demand: Var | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Var | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Var | X/1-X/5 Akım Trafosu: Var | CT-25 (120A): Var | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Multimetreler,EVM-05,EVM-05C-DIN,multimetreler.csv,Montaj Tipi: Ray | 3~ Gerilim: Var | 3~ Akım: Yok | Cosφ: Yok | Frekans: Var | I nötr: Yok | Demand: Yok | Maks. Değerler: Var | Min. Değerler: Var | Çıkış Kontağı: Var | Aşırı/Düşük Gerilim Koruma: Var | Aşırı/Düşük Akım Koruma: Yok | Aşırı/Düşük Frekans Koruma: Var | Faz Sırası Koruma: Var | RS-485: Yok | X/1-X/5 Akım Trafosu: Yok | CT-25 (120A): Yok | Çalışma Saati: Yok | Toplam Çalışma Saati: Yok
Ölçme,Transdüserler,TA,TA-111,transduserler.csv,"Tip: Akım Transdüseri | Giriş: 0-1A AC | Çıkış Sinyali: 0-20mA DC | Doğruluk: <%0,5 (Tam skala) | Aşırı Yük Kapasitesi: 1,5xIn (sürekli), 20xIn (1sn), In=1A | Doğrusal Çıkış Aralığı: (0,05...1,1)xIn | Yük: 0-750 ohm | Güç Tüketimi: <3VA | Çıkış Tepki Süresi: <300 ms | Frekans: 50 Hz | Boyutlar: DIN III Tip PK 20 | Koruma Sınıfı: Çift izolasyon, IP40 ön panel | Montaj: Ray Montaj | Bağlantı: Vidalı | Ağırlık: 0,3 kg/adet | Çalışma Sıcaklığı: -5 / +50 °C"
Ölçme,Transdüserler,TA,TA-112,transduserler.csv,"Tip: Akım Transdüseri | Giriş: 0-5A AC | Çıkış Sinyali: 0-20mA DC | Doğruluk: <%0,5 (Tam skala) | Aşırı Yük Kapasitesi: 1,5xIn (sürekli), 20xIn (1sn), In=5A | Doğrusal Çıkış Aralığı: (0,05...1,1)xIn | Yük: 0-750 ohm | Güç Tüketimi: <3VA | Çıkış Tepki Süresi: <300 ms | Frekans: 50 Hz | Boyutlar: DIN III Tip PK 20 | Koruma Sınıfı: Çift izolasyon, IP40 ön panel | Montaj: Ray Montaj | Bağlantı: Vidalı | Ağırlık: 0,3 kg/adet | Çalışma Sıcaklığı: -5 / +50 °C"
Ölçme,Transdüserler,TV,TV-111,transduserler.csv,"Tip: Gerilim Transdüseri | Giriş: 0-220 VAC | Çıkış Sinyali: 0-20mA | Doğruluk: <%0,5 (Tam skala) | Aşırı Yük Kapasitesi: 1,2xUn (sürekli), 2xUn (1sn), Un=220V AC | Doğrusal Çıkış Aralığı: (0,5...1,2)xUn | Yük: 0-750 Ω | Güç Tüketimi: <4VA | Çıkış Tepki Süresi: <300 ms | Frekans: 50 Hz | Boyutlar: DIN III PK 20 | Koruma Sınıfı: Çift izolasyon, IP40 ön panel | Montaj: Ray Montaj | Bağlantı: Vidalı | Ağırlık: 0,25 kg/adet | Çalışma Sıcaklığı: -5 / +50 °C"
Ölçme,Voltmetreler,EVM-3,EVM-3-48,voltmetreler.csv,Tip: Voltmetre | Boyut: 48x48 | Seçilebilir 3-Faz: Yok | 3~ Gerilim: Yok | 1~ Gerilim: Var | Max. Değer: Var | Min. Değer: Var | Çıkış Kontağı: Yok | 24-250V AC/DC: Yok | Ön Montaj Panel: Var
Ölçme,Voltmetreler,EVM-3,EVM-3-72,voltmetreler.csv,Tip: Voltmetre | Boyut: 72x72 | Seçilebilir 3-Faz: Yok | 3~ Gerilim: Yok | 1~ Gerilim: Var | Max. Değer: Var | Min. Değer: Var | Çıkış Kontağı: Yok | 24-250V AC/DC: Yok | Ön Montaj Panel: Var
Ölçme,Voltmetreler,EVM-3,EVM-3-96,voltmetreler.csv,Tip: Voltmetre | Boyut: 96x96 | Seçilebilir 3-Faz: Yok | 3~ Gerilim: Yok | 1~ Gerilim: Var | Max. Değer: Var | Min. Değer: Var | Çıkış Kontağı: Yok | 24-250V AC/DC: Yok | Ön Montaj Panel: Var
Ölçme,Voltmetreler,EVM-3C,EVM-3C-48,voltmetreler.csv,Tip: Voltmetre (Kontak Çıkışlı) | Boyut: 48x48 | Seçilebilir 3-Faz: Yok | 3~ Gerilim: Yok | 1~ Gerilim: Var | Max. Değer: Var | Min. Değer: Var | Çıkış Kontağı: Var | 24-250V AC/DC: Yok | Ön Montaj Panel: Var
Ölçme,Voltmetreler,EVM-3C,EVM-3C-72,voltmetreler.csv,Tip: Voltmetre (Kontak Çıkışlı) | Boyut: 72x72 | Seçilebilir 3-Faz: Yok | 3~ Gerilim: Yok | 1~ Gerilim: Var | Max. Değer: Var | Min. Değer: Var | Çıkış Kontağı: Var | 24-250V AC/DC: Yok | Ön Montaj Panel: Var
Ölçme,Voltmetreler,EVM-3C,EVM-3C-96,voltmetreler.csv,Tip: Voltmetre (Kontak Çıkışlı) | Boyut: 96x96 | Seçilebilir 3-Faz: Yok | 3~ Gerilim: Yok | 1~ Gerilim: Var | Max. Değer: Var | Min. Değer: Var | Çıkış Kontağı: Var | 24-250V AC/DC: Yok | Ön Montaj Panel: Var
Ölçme,Voltmetreler,EVM-3S,EVM-3S-48,voltmetreler.csv,Tip: 3-Faz Seçilebilir Voltmetre | Boyut: 48x48 | Seçilebilir 3-Faz: Var | 3~ Gerilim: Yok | 1~ Gerilim: Yok | Max. Değer: Yok | Min. Değer: Yok | Çıkış Kontağı: Yok | 24-250V AC/DC: Yok | Ön Montaj Panel: Var
Ölçme,Voltmetreler,EVM-3S,EVM-3S-72,voltmetreler.csv,Tip: 3-Faz Seçilebilir Voltmetre | Boyut: 72x72 | Seçilebilir 3-Faz: Var | 3~ Gerilim: Yok | 1~ Gerilim: Yok | Max. Değer: Yok | Min. Değer: Yok | Çıkış Kontağı: Yok | 24-250V AC/DC: Yok | Ön Montaj Panel: Var
Ölçme,Voltmetreler,EVM-3S,EVM-3S-96,voltmetreler.csv,Tip: 3-Faz Seçilebilir Voltmetre | Boyut: 96x96 | Seçilebilir 3-Faz: Var | 3~ Gerilim: Yok | 1~ Gerilim: Yok | Max. Değer: Yok | Min. Değer: Yok | Çıkış Kontağı: Yok | 24-250V AC/DC: Yok | Ön Montaj Panel: Var
Ölçme,Voltmetreler,EVM-15,EVM-15-96,voltmetreler.csv,"Tip: Voltmetre (0,5 sınıfı) | Boyut: 96x96 | Seçilebilir 3-Faz: Yok | 3~ Gerilim: Yok | 1~ Gerilim: Var | Max. Değer: Yok | Min. Değer: Yok | Çıkış Kontağı: Yok | 24-250V AC/DC: Var | Ön Montaj Panel: Var"
Ölçme,Voltmetreler,EVM-3,EVM-35-96,voltmetreler.csv,"Tip: 3-Faz Voltmetre (0,5 sınıfı) | Boyut: 96x96 | Seçilebilir 3-Faz: Yok | 3~ Gerilim: Var | 1~ Gerilim: Yok | Max. Değer: Yok | Min. Değer: Yok | Çıkış Kontağı: Yok | 24-250V AC/DC: Var | Ön Montaj Panel: Var"
Koruma & Kontrol,Akım Koruma Röleleri,AKC,AKC-01D,akim_koruma_roleleri.csv,"Tip: Düşük Akım Koruması (0,5-5A) | Düşük Akım Koruması: Var | Aşırı Akım Koruması: Yok | .../5A (Direkt): Var | CT-25 Dahil: Yok | 230 VAC: Var | DIN2 Ray Montaj: Var"
Koruma & Kontrol,Akım Koruma Röleleri,AKC,AKC-01A,akim_koruma_roleleri.csv,"Tip: Aşırı Akım Koruması (0,5-5A) | Düşük Akım Koruması: Yok | Aşırı Akım Koruması: Var | .../5A (Direkt): Var | CT-25 Dahil: Yok | 230 VAC: Var | DIN2 Ray Montaj: Var"
Koruma & Kontrol,Akım Koruma Röleleri,AKC,AKC-03D,akim_koruma_roleleri.csv,"Tip: Düşük Akım Koruması (CT-25 ile 1,5-60A) | Düşük Akım Koruması: Var | Aşırı Akım Koruması: Yok | .../5A (Direkt): Yok | CT-25 Dahil: Var | 230 VAC: Var | DIN2 Ray Montaj: Var"
Koruma & Kontrol,Akım Koruma Röleleri,AKC,AKC-03A,akim_koruma_roleleri.csv,"Tip: Aşırı Akım Koruması (CT-25 ile 1,5-60A) | Düşük Akım Koruması: Yok | Aşırı Akım Koruması: Var | .../5A (Direkt): Yok | CT-25 Dahil: Var | 230 VAC: Var | DIN2 Ray Montaj: Var"
Koruma & Kontrol,Aşırı Akım Sekonder Koruma Röleleri,CKR,CKR-93T,asiri_akim_sekonder_koruma_roleleri.csv,"Faz Yapısı: 3 Faz + 1 Toprak | Zaman Karakteristiği: Ayarlanabilir ters + sabit (bağımsız) zamanlı | Normal/Very/Extreme Inverse: Var | Long Time Inverse: Var | Bağımsız Zaman Kademeleri: 4 kademe (2,5 / 5 / 10 / 15 sn) | Besleme: 85-265 VAC/DC | Koruma Sınıfı: IP40 (ön panel) | Standartlar: IEC 60255-3, IEC 60255-6, IEC 529"
Koruma & Kontrol,Aşırı Akım Sekonder Koruma Röleleri,CKR,CKR-92T,asiri_akim_sekonder_koruma_roleleri.csv,"Faz Yapısı: 2 Faz + 1 Toprak | Zaman Karakteristiği: Ayarlanabilir ters + sabit (bağımsız) zamanlı | Normal/Very/Extreme Inverse: Var | Long Time Inverse: Yok | Bağımsız Zaman Kademeleri: 4 kademe (2,5 / 5 / 10 / 15 sn) | Besleme: 85-265 VAC/DC; 24 VDC | Koruma Sınıfı: IP40 (ön panel) | Standartlar: IEC 60255-3, IEC 60255-6, IEC 529"
Koruma & Kontrol,Çok Fonksiyonlu Zaman Röleleri,MCB,MCB-100,cok_fonksiyonlu_zaman_roleleri.csv,"Açıklama: 7 Fonksiyonlu Zaman Rölesi | Zaman Aralığı: 0,1sn-9999dk | Tetikleme Girişi: Var | Çekmede Gecikme: Yok | Bırakmada Gecikme: Yok | Pals: Yok | Asimetrik Flaşör: Yok | Simetrik Flaşör: Yok | Start/Stop: Yok | Sayıcı: Yok | Sağ-Sol: Var | Yıldız/Üçgen: Var | 2 Kademe Çekmede Gecikme: Opsiyonel | 2 Kademe Bırakmada Gecikme: Var | Hafıza: Var (*) | 12-30 VAC/DC: Yok | 85-315 VAC/DC: Var | Dahili Batarya: Yok | DIN2 Ray Montaj: Var"
Koruma & Kontrol,Çok Fonksiyonlu Zaman Röleleri,MCB,MCB-101,cok_fonksiyonlu_zaman_roleleri.csv,"Açıklama: 7 Fonksiyonlu Zaman Rölesi | Zaman Aralığı: 0,1sn-9999dk | Tetikleme Girişi: Var | Çekmede Gecikme: Yok | Bırakmada Gecikme: Yok | Pals: Yok | Asimetrik Flaşör: Yok | Simetrik Flaşör: Yok | Start/Stop: Yok | Sayıcı: Yok | Sağ-Sol: Var | Yıldız/Üçgen: Var | 2 Kademe Çekmede Gecikme: Var | 2 Kademe Bırakmada Gecikme: Var | Hafıza: Var (*) | 12-30 VAC/DC: Var | 85-315 VAC/DC: Yok | Dahili Batarya: Yok | DIN2 Ray Montaj: Var"
Koruma & Kontrol,Çok Fonksiyonlu Zaman Röleleri,MCB,MCB-120,cok_fonksiyonlu_zaman_roleleri.csv,"Açıklama: 17 Fonksiyonlu Zaman Rölesi | Zaman Aralığı: 0,1sn-9999dk | Tetikleme Girişi: Var | Çekmede Gecikme: Var | Bırakmada Gecikme: Var | Pals: Var | Asimetrik Flaşör: Var | Simetrik Flaşör: Var | Start/Stop: Yok | Sayıcı: Yok | Sağ-Sol: Yok | Yıldız/Üçgen: Yok | 2 Kademe Çekmede Gecikme: Yok | 2 Kademe Bırakmada Gecikme: Yok | Hafıza: Var (*) | 12-30 VAC/DC: Yok | 85-315 VAC/DC: Var | Dahili Batarya: Yok | DIN2 Ray Montaj: Var"
Koruma & Kontrol,Çok Fonksiyonlu Zaman Röleleri,MCB,MCB-121,cok_fonksiyonlu_zaman_roleleri.csv,"Açıklama: 17 Fonksiyonlu Zaman Rölesi | Zaman Aralığı: 0,1sn-9999dk | Tetikleme Girişi: Var | Çekmede Gecikme: Var | Bırakmada Gecikme: Var | Pals: Var | Asimetrik Flaşör: Var | Simetrik Flaşör: Var | Start/Stop: Yok | Sayıcı: Yok | Sağ-Sol: Yok | Yıldız/Üçgen: Yok | 2 Kademe Çekmede Gecikme: Yok | 2 Kademe Bırakmada Gecikme: Yok | Hafıza: Var (*) | 12-30 VAC/DC: Var | 85-315 VAC/DC: Yok | Dahili Batarya: Yok | DIN2 Ray Montaj: Var"
