Kategori,Seri,Model,A (mm),C (mm),D (mm),E (mm),H (mm),Kullanım Notu
NH Bıçaklı Sigortalar,NH,NH00,78,49,29,15,59,AYR.160/AYR.250 yük ayırıcılar ile birlikte kullanılır
NH Bıçaklı Sigortalar,NH,NH1,135,68,48,20,60,AYR.160/AYR.250 yük ayırıcılar ile birlikte kullanılır
