Kategori,Seri,Model,Faz Yapısı,Zaman Karakteristiği,Normal/Very/Extreme Inverse,Long Time Inverse,Bağımsız Zaman Kademeleri,Besleme,Koruma Sınıfı,Standartlar
Aşırı Akım Sekonder Koruma Röleleri,CKR,CKR-93T,3 Faz + 1 Toprak,Ayarlanabilir ters + sabit (bağımsız) zamanlı,Var,Var,"4 kademe (2,5 / 5 / 10 / 15 sn)",85-265 VAC/DC,IP40 (ön panel),"IEC 60255-3, IEC 60255-6, IEC 529"
Aşırı Akım Sekonder Koruma Röleleri,CKR,CKR-92T,2 Faz + 1 Toprak,Ayarlanabilir ters + sabit (bağımsız) zamanlı,Var,Yok,"4 kademe (2,5 / 5 / 10 / 15 sn)",85-265 VAC/DC; 24 VDC,IP40 (ön panel),"IEC 60255-3, IEC 60255-6, IEC 529"
