Kategori,Seri,Model,Anma Akımı (A),Uyumlu NH Sigortalar,Kullanım Kategorisi,Anma Frekansı,Standart,Çizim Ölçüleri (mm)
Yük Ayırıcılar,AYR,AYR.160,160,NH00 / NH1,AC-23B,50/60 Hz,IEC620269-2,83 / 202 / 111 / 205
Yük Ayırıcılar,AYR,AYR.250,250,NH00 / NH1,AC-23B,50/60 Hz,IEC620269-2,110 / 247 / 185 / 295
