Kategori,Seri,Model,Kaçak Akım Aralığı,Açma Süresi,Manuel Reset,Auto Reset,220-415VAC / 220VDC,DIN Kutu,Reset No.
Toprak Kaçak Akım Röleleri,ELR,ELR-30-M,0.3A-30A,0sn-10sn,Var,Yok,Yok,Yok,Belirsiz
Toprak Kaçak Akım Röleleri,ELR,ELR-30-A,0.3A-30A,0sn-10sn,Yok,Var,Var,Var,4
