Kategori,Seri,Model,Uygulama (Kondansatör Gücü),Koruma Tipleri,UC,Imax,In,Up,Koruma Sınıfı,Boyutlar (mm),Ağırlık (gr),Çalışma Sıcaklığı,Depolama Sıcaklığı,Koli Adedi
Darbe Gerilimi Koruma Cihazı,SPD,SPD (25 kVAr),25 kVAr,SPD-D: Faz-Nötr + Nötr-Toprak + Faz-Faz; SPD-S: Faz-Nötr + Nötr-Toprak,"440 V~ (+10%) Faz-Faz, 45-65 Hz",40 kA,20 kA,"1,3 kV",IP 20,171x121x80,746,-10...55 °C,-10...70 °C,1
Darbe Gerilimi Koruma Cihazı,SPD,SPD (50 kVAr),50 kVAr,SPD-D: Faz-Nötr + Nötr-Toprak + Faz-Faz; SPD-S: Faz-Nötr + Nötr-Toprak,"690 V~ (+10%) Faz-Faz, 45-65 Hz",40 kA,20 kA,"1,3 kV",IP 20,171x121x80,634,-10...55 °C,-10...70 °C,1
